,Unnamed: 0,index,condition,image_index,key_press,rt,response,stimulus_side,prioritization_cue,subject,side,run,coherency,prioritization,category
0,1,1,2.0,9.0,1.0,0.5051279589497429,1.0,1,double,17,inside,5,high,no,car
1,2,2,1.0,8.0,1.0,0.4626443638626371,1.0,1,right,17,inside,5,high,yes,car
2,3,3,4.0,41.0,1.0,0.807239359350206,1.0,0,double,17,inside,5,low,no,car
3,4,4,3.0,53.0,1.0,0.475015491214435,1.0,1,right,17,inside,5,low,yes,car
4,5,5,4.0,37.0,1.0,0.566872357019747,1.0,0,double,17,inside,5,low,no,car
5,6,6,4.0,70.0,2.0,0.7316985700526859,1.0,1,double,17,inside,5,low,no,face
6,7,7,3.0,48.0,1.0,0.508368679213163,1.0,1,right,17,inside,5,low,yes,car
7,8,8,2.0,19.0,2.0,0.637805880269298,1.0,1,double,17,inside,5,high,no,face
8,9,9,1.0,21.0,2.0,1.2065506776561998,1.0,0,left,17,inside,5,high,yes,face
9,10,10,3.0,58.0,1.0,0.54946161530097,0.0,1,right,17,inside,5,low,yes,face
10,11,11,4.0,45.0,2.0,1.2501141421271298,0.0,0,double,17,inside,5,low,no,car
11,12,12,2.0,2.0,1.0,0.654445041829604,1.0,0,double,17,inside,5,high,no,car
12,13,13,4.0,49.0,1.0,0.596655686516897,1.0,1,double,17,inside,5,low,no,car
13,14,14,2.0,23.0,2.0,0.593021653865435,1.0,0,double,17,inside,5,high,no,face
14,15,15,3.0,39.0,1.0,0.6025113805008,1.0,0,left,17,inside,5,low,yes,car
15,16,16,2.0,1.0,2.0,1.02053917089142,0.0,0,double,17,inside,5,high,no,car
16,17,17,1.0,9.0,1.0,0.6147081175549829,1.0,1,right,17,inside,5,high,yes,car
17,18,18,4.0,50.0,1.0,0.6636970076178841,1.0,1,double,17,inside,5,low,no,car
18,19,19,3.0,47.0,1.0,0.595014548282052,1.0,1,right,17,inside,5,low,yes,car
19,20,20,3.0,51.0,1.0,0.6379350023307779,1.0,0,left,17,inside,5,low,yes,car
20,21,21,3.0,42.0,1.0,0.6131717219723211,1.0,0,left,17,inside,5,low,yes,car
21,22,22,3.0,55.0,1.0,0.649372541749472,0.0,1,right,17,inside,5,low,yes,face
22,23,23,4.0,53.0,1.0,0.612930485458492,1.0,0,double,17,inside,5,low,no,car
23,24,24,3.0,60.0,1.0,0.5498593064839951,0.0,0,left,17,inside,5,low,yes,face
24,25,25,4.0,72.0,1.0,0.5511707466976079,0.0,0,double,17,inside,5,low,no,face
25,26,26,2.0,31.0,2.0,0.577996944801271,1.0,0,double,17,inside,5,high,no,face
26,27,27,1.0,22.0,2.0,0.624111977609573,1.0,1,right,17,inside,5,high,yes,face
27,28,28,4.0,56.0,2.0,0.7788421931290941,1.0,0,double,17,inside,5,low,no,face
28,29,29,3.0,68.0,1.0,1.11011262198735,0.0,0,left,17,inside,5,low,yes,face
29,30,30,2.0,22.0,2.0,0.609891624942975,1.0,0,double,17,inside,5,high,no,face
30,31,31,1.0,14.0,1.0,0.6732986222959879,1.0,0,left,17,inside,5,high,yes,car
31,32,32,4.0,63.0,1.0,0.67310760503824,0.0,0,double,17,inside,5,low,no,face
32,33,33,1.0,31.0,2.0,0.551995820245793,1.0,0,left,17,inside,5,high,yes,face
33,34,34,2.0,16.0,1.0,0.921621062978375,1.0,1,double,17,inside,5,high,no,car
34,35,35,3.0,69.0,1.0,1.3108824384798945,0.0,0,left,17,inside,5,low,yes,face
35,36,36,1.0,27.0,2.0,0.6127143424018872,1.0,1,right,17,inside,5,high,yes,face
36,37,37,2.0,15.0,1.0,0.711502241021662,1.0,1,double,17,inside,5,high,no,car
37,38,38,3.0,52.0,1.0,1.00943458871188,1.0,0,left,17,inside,5,low,yes,car
38,39,39,3.0,66.0,2.0,0.933809196703805,1.0,1,right,17,inside,5,low,yes,face
39,40,40,2.0,34.0,2.0,0.791059744362428,1.0,1,double,17,inside,5,high,no,face
40,41,41,2.0,11.0,1.0,0.694414101697475,1.0,0,double,17,inside,5,high,no,car
41,42,42,1.0,2.0,1.0,0.7433269177417969,1.0,1,right,17,inside,5,high,yes,car
42,43,43,4.0,57.0,1.0,0.944639475041186,0.0,1,double,17,inside,5,low,no,face
43,44,44,4.0,48.0,1.0,0.873189722286043,1.0,1,double,17,inside,5,low,no,car
44,45,45,2.0,33.0,2.0,0.7938220394971719,1.0,1,double,17,inside,5,high,no,face
45,46,46,1.0,18.0,1.0,1.1122842531513002,1.0,0,left,17,inside,5,high,yes,car
46,47,47,1.0,24.0,2.0,0.5826430328088461,1.0,0,left,17,inside,5,high,yes,face
47,48,48,3.0,41.0,1.0,0.597468071529875,1.0,1,right,17,inside,5,low,yes,car
48,49,49,4.0,61.0,2.0,1.15177797294018,1.0,1,double,17,inside,5,low,no,face
49,50,50,4.0,46.0,1.0,0.808212528067088,1.0,1,double,17,inside,5,low,no,car
50,51,51,1.0,7.0,1.0,0.898255365573277,1.0,0,left,17,inside,5,high,yes,car
51,52,52,2.0,10.0,1.0,0.873828092673648,1.0,0,double,17,inside,5,high,no,car
52,53,53,1.0,35.0,2.0,0.6191905656960439,1.0,0,left,17,inside,5,high,yes,face
53,54,54,1.0,6.0,1.0,1.3108824384798945,1.0,1,right,17,inside,5,high,yes,car
